team,opponent,team_score,opp_score,date,OT,neutral,road_game,ORtg,DRtg,Pace,FTr,3PAr,TSP,TRBP,ASTP,STLP,BLKP,eFGP,TOVP,ORBP,FT,OeFGP,OTOVP,OORBP,OFT
Alabama,Wichita St,52,53,2014-12-16,0,False,True,94.5,96.4,54.9,.279,.372,.534,46.3,40.0,7.3,12.9,.523,17.0,21.7,.163,.459,14.9,64.5,.163
Alabama,Appalachian State,60,59,2014-12-21,0,False,False,96.8,95.2,62.5,.286,.304,.472,50.7,47.8,11.3,28.1,.446,14.7,33.3,.179,.458,16.1,67.6,.067
Alabama,UCLA,56,50,2014-12-28,0,False,False,78.9,70.4,71.1,.588,.431,.429,51.4,41.2,12.7,15.2,.373,15.5,22.2,.353,.356,22.8,82.4,.250
Alabama,North Florida,76,61,2015-01-02,0,False,False,116.9,93.8,64.8,.340,.434,.617,59.3,64.3,13.8,5.7,.594,17.4,40.7,.245,.470,20.3,75.0,.280
Alabama,Texas A&M,65,44,2015-01-06,0,False,False,110.2,74.6,59.1,.532,.489,.552,53.7,47.6,13.6,13.3,.500,12.0,29.0,.383,.365,20.2,75.0,.115
Alabama,Tennessee,56,38,2015-01-10,0,False,True,98.2,66.7,57.5,.250,.458,.521,52.5,75.0,12.3,7.1,.479,18.3,25.0,.208,.333,20.6,77.4,.178
Alabama,South Carolina,66,68,2015-01-13,0,False,True,101.5,104.6,64.5,.732,.415,.597,40.7,65.0,6.2,10.3,.561,17.8,16.7,.488,.443,15.4,60.0,.396
Alabama,Kentucky,48,70,2015-01-17,0,False,False,85.7,125.0,55.9,.156,.400,.497,40.4,20.0,7.1,13.8,.500,23.7,24.0,.067,.587,14.2,59.1,.348
Alabama,Arkansas,91,93,2015-01-22,1,False,True,113.8,116.3,71.0,.491,.421,.647,41.3,35.7,7.5,4.2,.596,19.5,21.2,.404,.451,10.0,55.3,.408
Alabama,Auburn,57,55,2015-01-24,0,False,False,96.6,93.2,59.4,.356,.400,.542,56.3,40.0,6.8,20.0,.500,17.3,34.8,.267,.422,15.9,76.0,.235
Alabama,Florida,50,52,2015-01-27,0,False,False,86.2,89.7,58.0,.261,.370,.484,48.1,38.9,15.5,20.0,.457,24.7,34.5,.174,.489,24.1,64.0,.152
